outliers,auc,trials,sigma
275,0.14920192431494841,2,1e-06
275,0.1491846773775133,3,1e-06
275,0.14919047402308258,4,1e-06
275,0.14918483490011406,5,1e-06
275,0.14918800842858515,6,1e-06
275,0.14918683288975618,7,1e-06
275,0.14918605864294587,8,1e-06
275,0.14918350375553113,9,1e-06
300,0.14917984306888646,0,1e-06
300,0.14918073310780186,1,1e-06
300,0.14918468931066525,2,1e-06
300,0.1491871018265289,3,1e-06
300,0.1491799437192892,4,1e-06
300,0.1491855756902634,5,1e-06
300,0.1491814471807128,6,1e-06
300,0.14918269554520902,7,1e-06
300,0.14918102293311017,8,1e-06
300,0.1491795576908108,9,1e-06
325,0.14918600282248326,0,1e-06
325,0.1491781894782752,1,1e-06
325,0.14917873855426947,2,1e-06
325,0.1491776667688336,3,1e-06
325,0.14917955304486696,4,1e-06
325,0.14917805440182916,5,1e-06
325,0.14917951385603842,6,1e-06
325,0.14918180941234804,7,1e-06
325,0.1491802836818854,8,1e-06
325,0.1491803563890997,9,1e-06
350,0.14917911285555965,0,1e-06
350,0.14917759691658308,1,1e-06
350,0.14918013975754993,2,1e-06
350,0.1491778892005606,3,1e-06
350,0.149180138161091,4,1e-06
350,0.1491791516745241,5,1e-06
350,0.14918136930329884,6,1e-06
350,0.14918008646779554,7,1e-06
350,0.14918315993667908,8,1e-06
350,0.14918262557450543,9,1e-06
375,0.14917871071277322,0,1e-06
375,0.14917784210743912,1,1e-06
375,0.1491789232883889,2,1e-06
375,0.1491768866834896,3,1e-06
375,0.14917866275856964,4,1e-06
375,0.1491789251820283,5,1e-06
375,0.1491808005047675,6,1e-06
375,0.14917885677023315,7,1e-06
375,0.1491757170997136,8,1e-06
375,0.149178606354866,9,1e-06
400,0.14917761443041136,0,1e-06
400,0.14917698774791446,1,1e-06
400,0.14917799110044322,2,1e-06
400,0.1491764269996878,3,1e-06
400,0.14917595920708,4,1e-06
400,0.14917619196937593,5,1e-06
400,0.14917621822085958,6,1e-06
400,0.14917868265580497,7,1e-06
400,0.1491772287373084,8,1e-06
400,0.1491789095526534,9,1e-06
425,0.14917733363768274,0,1e-06
425,0.14917672546273178,1,1e-06
425,0.14917892825375326,2,1e-06
425,0.149177756010824,3,1e-06
425,0.14917618824607773,4,1e-06
425,0.14917525477738713,5,1e-06
425,0.14917544516406064,6,1e-06
425,0.14917801855579804,7,1e-06
425,0.14917861565239415,8,1e-06
425,0.149177258047463,9,1e-06
450,0.14917639948873238,0,1e-06
450,0.1491774268616344,1,1e-06
450,0.1491754632127817,2,1e-06
450,0.14917719621183445,3,1e-06
450,0.14917615521665414,4,1e-06
450,0.14917629532115612,5,1e-06
450,0.1491763645695371,6,1e-06
450,0.14917612425685756,7,1e-06
450,0.149176472187405,8,1e-06
450,0.14917580655363058,9,1e-06
475,0.14917519175174732,0,1e-06
475,0.14917574662807995,1,1e-06
475,0.14917772795675685,2,1e-06
475,0.14917493209316324,3,1e-06
475,0.1491764948058406,4,1e-06
475,0.1491765855256758,5,1e-06
475,0.14917556731976142,6,1e-06
475,0.14917580726692836,7,1e-06
475,0.14917684874897558,8,1e-06
475,0.14917691227373042,9,1e-06
500,0.1491751042633474,0,1e-06
500,0.14917506249723528,1,1e-06
500,0.1491748561657951,2,1e-06
500,0.14917511024160754,3,1e-06
500,0.14917517111768455,4,1e-06
500,0.14917511345370357,5,1e-06
500,0.14917496612855277,6,1e-06
500,0.14917638242035255,7,1e-06
500,0.14917521570507775,8,1e-06
500,0.14917490545715004,9,1e-06
0,0.8579319981780947,0,1e-05
0,0.8578904252403646,1,1e-05
0,0.8578666180953501,2,1e-05
0,0.857907615797303,3,1e-05
